rideable_type,member_casual,Day Name,Month Name,Custom,Hour,Count
classic_bike,casual,Friday,March,Under 10,22,32
classic_bike,casual,Sunday,March,Under 10,1,42
classic_bike,member,Wednesday,March,Under 10,0,33
classic_bike,member,Friday,March,Under 10,3,18
classic_bike,casual,Thursday,March,10 to 30,7,27
classic_bike,member,Sunday,March,Under 10,5,16
classic_bike,casual,Tuesday,March,10 to 30,6,10
classic_bike,casual,Monday,March,10 to 30,7,39
classic_bike,member,Monday,March,10 to 30,2,2
classic_bike,casual,Sunday,March,10 to 30,22,36
classic_bike,member,Friday,March,30 to 60,6,17
classic_bike,member,Wednesday,March,30 to 60,6,20
electric_bike,member,Sunday,March,30 to 60,1,8
electric_bike,casual,Sunday,March,30 to 60,22,9
classic_bike,member,Friday,March,10 to 30,2,5
classic_bike,casual,Monday,March,30 to 60,7,9
classic_bike,casual,Wednesday,March,30 to 60,19,12
classic_bike,casual,Friday,March,Over 60,18,15
electric_bike,member,Tuesday,March,Over 60,21,3
electric_bike,casual,Sunday,March,30 to 60,2,4
electric_bike,member,Sunday,March,30 to 60,3,2
classic_bike,casual,Tuesday,March,30 to 60,22,19
classic_bike,member,Tuesday,March,Under 10,1,13
electric_bike,casual,Tuesday,March,30 to 60,19,10
classic_bike,casual,Saturday,March,10 to 30,4,2
electric_bike,casual,Saturday,March,Over 60,13,17
classic_bike,casual,Sunday,March,10 to 30,3,14
electric_bike,member,Sunday,March,Over 60,20,2
classic_bike,casual,Monday,March,10 to 30,2,6
classic_bike,member,Monday,March,10 to 30,22,32
classic_bike,member,Sunday,March,Over 60,14,20
classic_bike,casual,Friday,March,10 to 30,0,24
classic_bike,casual,Sunday,March,Over 60,7,10
electric_bike,member,Friday,March,30 to 60,21,7
electric_bike,member,Monday,March,30 to 60,0,4
classic_bike,casual,Monday,March,Over 60,19,18
classic_bike,casual,Sunday,March,10 to 30,1,30
electric_bike,casual,Sunday,March,30 to 60,23,4
classic_bike,casual,Thursday,March,Over 60,11,17
electric_bike,casual,Friday,March,Over 60,11,7
electric_bike,casual,Monday,March,Over 60,13,5
electric_bike,member,Saturday,March,Over 60,13,11
classic_bike,casual,Thursday,March,Over 60,8,5
electric_bike,member,Thursday,March,30 to 60,23,2
electric_bike,member,Monday,March,30 to 60,12,11
classic_bike,casual,Wednesday,March,10 to 30,22,24
electric_bike,casual,Monday,March,Over 60,18,8
classic_bike,member,Saturday,March,30 to 60,2,1
classic_bike,casual,Thursday,March,Under 10,7,56
classic_bike,member,Saturday,March,30 to 60,21,13
classic_bike,casual,Friday,March,Over 60,17,22
classic_bike,casual,Saturday,March,10 to 30,3,4
classic_bike,casual,Saturday,March,30 to 60,22,17
electric_bike,member,Tuesday,March,30 to 60,21,10
electric_bike,casual,Wednesday,March,Over 60,11,5
classic_bike,casual,Tuesday,March,30 to 60,9,11
classic_bike,member,Sunday,March,Under 10,6,57
classic_bike,member,Saturday,March,Under 10,2,29
classic_bike,casual,Monday,March,10 to 30,1,6
classic_bike,casual,Tuesday,March,Under 10,22,41
electric_bike,member,Sunday,March,30 to 60,4,1
electric_bike,member,Monday,March,30 to 60,4,3
electric_bike,member,Wednesday,March,30 to 60,4,1
electric_bike,member,Tuesday,March,30 to 60,5,2
electric_bike,member,Friday,March,30 to 60,4,2
classic_bike,member,Friday,March,Under 10,2,15
classic_bike,member,Tuesday,March,10 to 30,3,1
electric_bike,member,Tuesday,March,10 to 30,4,9
classic_bike,member,Saturday,March,Over 60,17,15
electric_bike,casual,Wednesday,March,30 to 60,14,13
classic_bike,member,Wednesday,March,30 to 60,22,14
electric_bike,member,Sunday,March,Over 60,8,4
classic_bike,casual,Wednesday,March,Over 60,17,21
classic_bike,casual,Friday,March,Over 60,8,5
classic_bike,member,Saturday,March,Over 60,19,2
electric_bike,casual,Saturday,March,Over 60,9,7
electric_bike,casual,Thursday,March,10 to 30,3,3
classic_bike,member,Friday,March,10 to 30,1,9
classic_bike,casual,Monday,March,Over 60,15,42
classic_bike,casual,Saturday,March,Over 60,20,18
classic_bike,member,Monday,March,Over 60,17,13
classic_bike,member,Tuesday,March,30 to 60,20,28
classic_bike,member,Tuesday,March,30 to 60,3,1
electric_bike,casual,Monday,March,30 to 60,9,4
electric_bike,member,Saturday,March,Over 60,18,7
classic_bike,casual,Tuesday,March,30 to 60,23,13
electric_bike,casual,Tuesday,March,Over 60,11,2
classic_bike,member,Friday,March,30 to 60,4,3
electric_bike,member,Sunday,March,Over 60,22,2
classic_bike,casual,Saturday,March,Over 60,21,22
electric_bike,casual,Monday,March,10 to 30,2,4
classic_bike,casual,Wednesday,March,Over 60,13,30
classic_bike,member,Monday,March,Over 60,16,11
classic_bike,casual,Friday,March,10 to 30,2,6
classic_bike,member,Sunday,March,Over 60,15,17
classic_bike,casual,Thursday,March,30 to 60,8,5
classic_bike,casual,Monday,March,10 to 30,23,16
classic_bike,casual,Wednesday,March,Over 60,9,9
classic_bike,member,Friday,March,Over 60,19,7
classic_bike,member,Wednesday,March,Under 10,2,10
classic_bike,casual,Thursday,March,10 to 30,23,21
electric_bike,casual,Sunday,March,Over 60,11,13
classic_bike,member,Saturday,March,Under 10,5,23
classic_bike,member,Saturday,March,Under 10,4,14
classic_bike,member,Friday,March,Over 60,16,4
electric_bike,casual,Thursday,March,30 to 60,9,1
classic_bike,casual,Saturday,March,10 to 30,7,27
classic_bike,casual,Friday,March,30 to 60,19,14
classic_bike,member,Thursday,March,10 to 30,5,33
classic_bike,casual,Wednesday,March,Under 10,23,24
classic_bike,member,Sunday,March,30 to 60,5,7
classic_bike,member,Wednesday,March,Over 60,19,3
classic_bike,member,Tuesday,March,Over 60,17,15
classic_bike,casual,Thursday,March,Under 10,1,8
classic_bike,member,Sunday,March,30 to 60,22,9
electric_bike,member,Saturday,March,30 to 60,6,4
classic_bike,casual,Wednesday,March,30 to 60,22,2
classic_bike,member,Friday,March,30 to 60,22,15
classic_bike,member,Monday,March,30 to 60,22,13
classic_bike,casual,Friday,March,30 to 60,9,15
classic_bike,casual,Sunday,March,30 to 60,21,7
classic_bike,casual,Wednesday,March,Over 60,22,2
classic_bike,casual,Tuesday,March,10 to 30,23,27
electric_bike,casual,Monday,March,Over 60,19,1
classic_bike,casual,Sunday,March,Over 60,8,11
electric_bike,casual,Tuesday,March,Over 60,15,5
classic_bike,member,Saturday,March,30 to 60,23,13
classic_bike,member,Wednesday,March,30 to 60,20,29
classic_bike,member,Tuesday,March,30 to 60,22,15
classic_bike,casual,Saturday,March,10 to 30,5,10
classic_bike,casual,Friday,March,30 to 60,7,8
classic_bike,casual,Saturday,March,Over 60,7,5
classic_bike,casual,Thursday,March,Over 60,18,19
classic_bike,casual,Sunday,March,Over 60,20,16
classic_bike,casual,Wednesday,March,10 to 30,1,2
classic_bike,member,Thursday,March,Over 60,12,4
classic_bike,member,Friday,March,30 to 60,12,36
classic_bike,casual,Thursday,March,30 to 60,19,10
classic_bike,member,Sunday,March,Over 60,1,5
classic_bike,casual,Thursday,March,Over 60,15,17
classic_bike,member,Tuesday,March,30 to 60,5,7
classic_bike,member,Tuesday,March,Over 60,10,3
classic_bike,member,Monday,March,Over 60,19,5
electric_bike,casual,Monday,March,Over 60,15,4
electric_bike,member,Saturday,March,30 to 60,8,8
electric_bike,casual,Friday,March,Over 60,13,7
classic_bike,casual,Friday,March,10 to 30,3,9
classic_bike,member,Tuesday,March,10 to 30,5,40
classic_bike,member,Thursday,March,30 to 60,22,9
classic_bike,casual,Monday,March,Under 10,0,10
classic_bike,member,Wednesday,March,30 to 60,9,28
classic_bike,casual,Wednesday,March,Over 60,21,2
classic_bike,member,Tuesday,March,Over 60,19,5
electric_bike,casual,Wednesday,March,Over 60,21,2
classic_bike,casual,Wednesday,March,10 to 30,6,15
classic_bike,member,Sunday,March,Over 60,10,9
classic_bike,casual,Friday,March,Under 10,4,8
classic_bike,member,Wednesday,March,Over 60,11,5
classic_bike,casual,Wednesday,March,Over 60,11,26
electric_bike,casual,Wednesday,March,30 to 60,8,5
classic_bike,casual,Thursday,March,10 to 30,1,7
classic_bike,casual,Friday,March,10 to 30,7,27
classic_bike,member,Sunday,March,30 to 60,4,3
classic_bike,casual,Tuesday,March,Over 60,8,8
electric_bike,member,Monday,March,30 to 60,7,11
classic_bike,casual,Saturday,March,Under 10,5,8
classic_bike,member,Saturday,March,Over 60,16,6
electric_bike,casual,Saturday,March,30 to 60,1,2
classic_bike,casual,Monday,March,Over 60,21,5
classic_bike,casual,Tuesday,March,Over 60,20,10
classic_bike,casual,Wednesday,March,30 to 60,7,7
classic_bike,member,Thursday,March,Over 60,19,5
electric_bike,member,Thursday,March,Over 60,12,2
classic_bike,casual,Thursday,March,Over 60,0,3
classic_bike,member,Wednesday,March,Over 60,17,7
electric_bike,member,Wednesday,March,30 to 60,5,1
electric_bike,member,Saturday,March,30 to 60,5,1
classic_bike,casual,Sunday,March,Under 10,4,12
classic_bike,casual,Friday,March,10 to 30,8,41
classic_bike,casual,Wednesday,March,30 to 60,9,22
classic_bike,member,Thursday,March,Over 60,22,3
electric_bike,member,Monday,March,Over 60,9,3
classic_bike,member,Sunday,March,30 to 60,2,4
electric_bike,casual,Saturday,March,30 to 60,0,11
classic_bike,casual,Saturday,March,30 to 60,0,8
electric_bike,casual,Friday,March,Over 60,17,4
classic_bike,casual,Tuesday,March,Over 60,11,13
classic_bike,member,Monday,March,Over 60,13,5
electric_bike,casual,Wednesday,March,30 to 60,0,4
classic_bike,member,Tuesday,March,Over 60,12,7
classic_bike,member,Friday,March,Under 10,4,20
classic_bike,casual,Thursday,March,Under 10,5,19
classic_bike,casual,Wednesday,March,10 to 30,0,18
electric_bike,member,Thursday,March,10 to 30,2,6
electric_bike,casual,Monday,March,Over 60,11,6
classic_bike,casual,Saturday,March,Under 10,6,7
electric_bike,casual,Tuesday,March,Over 60,20,3
classic_bike,member,Tuesday,March,10 to 30,4,12
classic_bike,member,Tuesday,March,Under 10,4,18
electric_bike,casual,Thursday,March,30 to 60,6,4
electric_bike,casual,Sunday,March,30 to 60,5,2
classic_bike,member,Saturday,March,Over 60,10,14
classic_bike,member,Friday,March,Over 60,11,4
classic_bike,member,Friday,March,Over 60,15,3
classic_bike,member,Wednesday,March,10 to 30,0,20
classic_bike,member,Tuesday,March,Over 60,14,7
classic_bike,casual,Wednesday,March,Over 60,8,5
classic_bike,casual,Thursday,March,30 to 60,9,6
electric_bike,casual,Sunday,March,Over 60,7,3
classic_bike,casual,Friday,March,30 to 60,20,18
classic_bike,casual,Friday,March,10 to 30,6,12
classic_bike,casual,Sunday,March,Over 60,21,11
classic_bike,casual,Thursday,March,Over 60,10,9
classic_bike,member,Wednesday,March,Over 60,21,1
classic_bike,casual,Monday,March,10 to 30,0,15
classic_bike,casual,Thursday,March,30 to 60,22,5
electric_bike,casual,Friday,March,30 to 60,23,3
classic_bike,casual,Wednesday,March,Over 60,19,5
classic_bike,member,Wednesday,March,Over 60,18,7
classic_bike,member,Sunday,March,Over 60,0,2
classic_bike,casual,Sunday,March,30 to 60,5,4
classic_bike,casual,Thursday,March,30 to 60,7,4
classic_bike,casual,Thursday,March,10 to 30,2,4
classic_bike,member,Tuesday,March,Over 60,3,1
electric_bike,member,Friday,March,30 to 60,1,5
electric_bike,member,Wednesday,March,30 to 60,0,3
classic_bike,casual,Saturday,March,30 to 60,1,7
classic_bike,casual,Tuesday,March,10 to 30,0,11
classic_bike,member,Monday,March,10 to 30,4,9
electric_bike,casual,Tuesday,March,30 to 60,9,9
classic_bike,casual,Friday,March,30 to 60,0,6
classic_bike,member,Wednesday,March,Over 60,15,2
classic_bike,member,Friday,March,Over 60,18,6
classic_bike,member,Thursday,March,30 to 60,1,1
classic_bike,member,Friday,March,30 to 60,0,6
classic_bike,member,Tuesday,March,Over 60,15,6
classic_bike,member,Wednesday,March,30 to 60,23,8
classic_bike,casual,Wednesday,March,10 to 30,5,9
classic_bike,member,Wednesday,March,10 to 30,1,8
electric_bike,casual,Friday,March,10 to 30,1,8
classic_bike,casual,Sunday,March,30 to 60,4,2
classic_bike,member,Wednesday,March,30 to 60,0,2
electric_bike,member,Monday,March,Over 60,14,7
electric_bike,casual,Friday,March,Over 60,16,3
classic_bike,casual,Monday,March,10 to 30,3,6
electric_bike,member,Wednesday,March,30 to 60,1,2
classic_bike,casual,Thursday,March,10 to 30,3,2
classic_bike,member,Wednesday,March,Over 60,20,4
classic_bike,member,Monday,March,Over 60,9,3
classic_bike,member,Wednesday,March,30 to 60,2,1
classic_bike,member,Saturday,March,Over 60,21,3
classic_bike,member,Wednesday,March,Under 10,1,10
electric_bike,casual,Monday,March,10 to 30,5,5
classic_bike,member,Friday,March,Over 60,13,10
electric_bike,member,Wednesday,March,Over 60,18,4
classic_bike,casual,Friday,March,Under 10,2,13
classic_bike,member,Monday,March,30 to 60,4,4
electric_bike,casual,Saturday,March,Over 60,18,11
electric_bike,casual,Friday,March,30 to 60,11,13
electric_bike,member,Thursday,March,Over 60,10,5
classic_bike,casual,Tuesday,March,Under 10,0,6
classic_bike,member,Saturday,March,10 to 30,4,8
classic_bike,member,Thursday,March,Under 10,2,7
electric_bike,member,Tuesday,March,30 to 60,0,2
classic_bike,casual,Friday,March,Over 60,19,9
classic_bike,member,Thursday,March,Over 60,23,2
classic_bike,member,Friday,March,Over 60,8,3
classic_bike,member,Saturday,March,30 to 60,3,4
electric_bike,member,Monday,March,30 to 60,22,3
classic_bike,casual,Wednesday,March,30 to 60,0,4
classic_bike,casual,Saturday,March,Over 60,8,11
classic_bike,casual,Tuesday,March,Over 60,23,13
classic_bike,casual,Thursday,March,30 to 60,21,9
classic_bike,member,Tuesday,March,Over 60,20,2
classic_bike,casual,Saturday,March,Under 10,4,4
classic_bike,casual,Thursday,March,10 to 30,6,9
classic_bike,casual,Tuesday,March,Under 10,4,3
electric_bike,member,Wednesday,March,30 to 60,22,4
classic_bike,member,Thursday,March,10 to 30,1,9
classic_bike,member,Monday,March,Over 60,15,9
classic_bike,member,Monday,March,Over 60,8,2
classic_bike,casual,Tuesday,March,Under 10,3,1
classic_bike,casual,Friday,March,Over 60,22,4
classic_bike,casual,Friday,March,Over 60,1,5
classic_bike,member,Friday,March,10 to 30,4,12
electric_bike,casual,Thursday,March,10 to 30,5,5
classic_bike,casual,Friday,March,10 to 30,5,9
classic_bike,casual,Friday,March,30 to 60,22,7
classic_bike,casual,Tuesday,March,30 to 60,6,3
classic_bike,casual,Wednesday,March,30 to 60,1,3
classic_bike,member,Monday,March,30 to 60,1,3
classic_bike,member,Monday,March,10 to 30,1,6
classic_bike,casual,Thursday,March,Over 60,9,6
classic_bike,member,Tuesday,March,Over 60,2,1
electric_bike,casual,Thursday,March,Over 60,12,1
classic_bike,casual,Monday,March,30 to 60,1,3
classic_bike,member,Wednesday,March,Over 60,7,4
electric_bike,member,Thursday,March,30 to 60,3,2
classic_bike,member,Friday,March,Over 60,10,3
electric_bike,casual,Friday,March,30 to 60,9,5
electric_bike,casual,Thursday,March,Over 60,11,3
classic_bike,member,Monday,March,30 to 60,23,5
classic_bike,member,Tuesday,March,30 to 60,0,4
electric_bike,casual,Saturday,March,10 to 30,3,5
classic_bike,casual,Sunday,March,Over 60,5,1
classic_bike,member,Thursday,March,Over 60,20,3
classic_bike,casual,Monday,March,Under 10,1,5
electric_bike,member,Thursday,March,Over 60,8,1
classic_bike,member,Wednesday,March,10 to 30,2,2
classic_bike,casual,Friday,March,Over 60,9,9
electric_bike,casual,Monday,March,Over 60,0,5
classic_bike,casual,Saturday,March,30 to 60,6,1
classic_bike,casual,Saturday,March,Over 60,6,6
electric_bike,member,Friday,March,Over 60,21,3
classic_bike,casual,Monday,March,Over 60,8,9
electric_bike,casual,Friday,March,10 to 30,4,3
classic_bike,member,Tuesday,March,Under 10,2,4
electric_bike,casual,Thursday,March,Over 60,10,2
electric_bike,casual,Sunday,March,Over 60,19,3
classic_bike,member,Tuesday,March,10 to 30,1,5
classic_bike,member,Sunday,March,30 to 60,20,12
classic_bike,casual,Thursday,March,30 to 60,6,1
electric_bike,member,Tuesday,March,Over 60,8,2
classic_bike,member,Sunday,March,Over 60,8,5
classic_bike,casual,Tuesday,March,Over 60,22,5
classic_bike,member,Thursday,March,Over 60,9,7
classic_bike,member,Saturday,March,Over 60,18,3
classic_bike,member,Thursday,March,Over 60,13,4
classic_bike,member,Tuesday,March,Over 60,7,4
classic_bike,casual,Saturday,March,Over 60,22,17
classic_bike,casual,Friday,March,30 to 60,8,7
electric_bike,casual,Saturday,March,Over 60,1,1
classic_bike,member,Thursday,March,Over 60,8,1
classic_bike,casual,Sunday,March,Over 60,1,4
classic_bike,casual,Tuesday,March,10 to 30,1,2
classic_bike,casual,Tuesday,March,30 to 60,8,6
electric_bike,casual,Tuesday,March,10 to 30,5,3
classic_bike,casual,Thursday,March,Over 60,20,5
classic_bike,member,Sunday,March,Over 60,19,4
classic_bike,member,Sunday,March,Over 60,18,4
classic_bike,member,Monday,March,Over 60,7,3
electric_bike,member,Friday,March,30 to 60,0,1
electric_bike,casual,Monday,March,30 to 60,1,2
electric_bike,casual,Saturday,March,10 to 30,5,2
classic_bike,casual,Tuesday,March,10 to 30,3,2
classic_bike,casual,Wednesday,March,10 to 30,4,4
classic_bike,casual,Wednesday,March,10 to 30,2,1
classic_bike,casual,Wednesday,March,10 to 30,3,1
classic_bike,casual,Thursday,March,10 to 30,5,4
classic_bike,casual,Monday,March,Over 60,7,3
electric_bike,casual,Thursday,March,Over 60,21,4
electric_bike,casual,Tuesday,March,Over 60,9,2
classic_bike,member,Friday,March,Over 60,6,1
classic_bike,casual,Sunday,March,30 to 60,22,4
classic_bike,member,Tuesday,March,Over 60,18,8
classic_bike,member,Thursday,March,10 to 30,3,4
electric_bike,casual,Wednesday,March,30 to 60,2,1
electric_bike,member,Wednesday,March,Over 60,10,5
classic_bike,casual,Sunday,March,Over 60,2,4
classic_bike,casual,Tuesday,March,10 to 30,4,2
classic_bike,casual,Monday,March,30 to 60,3,2
classic_bike,member,Wednesday,March,Over 60,5,1
classic_bike,member,Friday,March,10 to 30,3,3
classic_bike,casual,Thursday,March,Over 60,22,5
classic_bike,casual,Wednesday,March,Over 60,23,1
classic_bike,member,Wednesday,March,Over 60,8,7
classic_bike,casual,Sunday,March,Over 60,4,3
classic_bike,casual,Tuesday,March,Over 60,1,1
electric_bike,casual,Saturday,March,Over 60,0,1
electric_bike,member,Monday,March,10 to 30,2,2
electric_bike,member,Thursday,March,10 to 30,1,7
electric_bike,member,Wednesday,March,30 to 60,3,3
electric_bike,member,Wednesday,March,Over 60,8,1
classic_bike,member,Monday,March,Over 60,23,1
electric_bike,member,Friday,March,Over 60,19,4
electric_bike,casual,Thursday,March,Over 60,2,1
electric_bike,casual,Saturday,March,Over 60,21,3
classic_bike,casual,Wednesday,March,Under 10,1,6
classic_bike,member,Thursday,March,Over 60,7,1
classic_bike,casual,Saturday,March,Over 60,2,1
classic_bike,member,Monday,March,Over 60,12,3
electric_bike,casual,Wednesday,March,30 to 60,15,17
classic_bike,casual,Thursday,March,30 to 60,20,12
classic_bike,casual,Saturday,March,Over 60,0,5
electric_bike,member,Friday,March,Over 60,14,3
classic_bike,member,Wednesday,March,Over 60,22,1
classic_bike,casual,Wednesday,March,Under 10,4,5
classic_bike,member,Tuesday,March,Over 60,8,5
electric_bike,member,Wednesday,March,30 to 60,2,1
electric_bike,casual,Thursday,March,Over 60,23,2
electric_bike,casual,Wednesday,March,10 to 30,2,5
electric_bike,casual,Sunday,March,Over 60,2,1
electric_bike,casual,Monday,March,Over 60,8,2
electric_bike,casual,Friday,March,30 to 60,6,1
electric_bike,casual,Wednesday,March,30 to 60,7,2
electric_bike,casual,Friday,March,Over 60,18,8
electric_bike,casual,Tuesday,March,Over 60,12,2
electric_bike,casual,Sunday,March,Over 60,1,6
electric_bike,casual,Monday,March,Over 60,20,2
electric_bike,member,Wednesday,March,Over 60,15,3
electric_bike,member,Monday,March,Over 60,10,2
electric_bike,casual,Wednesday,March,Over 60,7,1
electric_bike,casual,Sunday,March,30 to 60,8,1
electric_bike,member,Monday,March,30 to 60,1,1
electric_bike,member,Sunday,March,30 to 60,2,2
classic_bike,casual,Monday,March,Over 60,4,4
electric_bike,casual,Friday,March,30 to 60,1,2
electric_bike,member,Sunday,March,Over 60,12,5
electric_bike,member,Tuesday,March,Over 60,9,2
electric_bike,member,Friday,March,Over 60,22,2
electric_bike,member,Tuesday,March,Over 60,19,4
electric_bike,member,Monday,March,Over 60,8,3
electric_bike,member,Monday,March,Over 60,12,2
electric_bike,member,Sunday,March,Over 60,10,3
classic_bike,member,Thursday,March,Over 60,16,4
electric_bike,casual,Tuesday,March,30 to 60,1,3
classic_bike,member,Thursday,March,Over 60,17,2
classic_bike,casual,Thursday,March,Over 60,19,7
electric_bike,casual,Saturday,March,Over 60,2,2
electric_bike,casual,Sunday,March,Over 60,21,2
classic_bike,casual,Friday,March,Over 60,0,6
electric_bike,casual,Monday,March,30 to 60,0,4
classic_bike,casual,Thursday,March,Over 60,5,2
classic_bike,member,Tuesday,March,Over 60,16,6
classic_bike,casual,Friday,March,Over 60,23,6
classic_bike,casual,Friday,March,Over 60,5,1
classic_bike,member,Sunday,March,Over 60,21,1
electric_bike,member,Friday,March,Over 60,10,2
electric_bike,casual,Friday,March,30 to 60,21,9
electric_bike,casual,Friday,March,30 to 60,8,3
classic_bike,casual,Sunday,March,Over 60,23,1
classic_bike,casual,Monday,March,Over 60,22,2
classic_bike,member,Saturday,March,Over 60,14,9
electric_bike,casual,Sunday,March,Over 60,23,2
classic_bike,member,Sunday,March,Over 60,7,4
electric_bike,casual,Friday,March,30 to 60,5,1
classic_bike,member,Tuesday,March,Over 60,4,1
classic_bike,casual,Sunday,March,30 to 60,2,4
classic_bike,casual,Wednesday,March,30 to 60,20,8
classic_bike,casual,Tuesday,March,Over 60,6,3
electric_bike,casual,Friday,March,Over 60,14,3
classic_bike,casual,Monday,March,30 to 60,6,1
classic_bike,casual,Tuesday,March,Over 60,4,2
classic_bike,member,Friday,March,Over 60,12,3
classic_bike,member,Thursday,March,Over 60,11,3
classic_bike,member,Thursday,March,Over 60,6,3
classic_bike,member,Saturday,March,10 to 30,3,5
classic_bike,casual,Tuesday,March,10 to 30,5,4
classic_bike,member,Wednesday,March,Over 60,12,2
classic_bike,casual,Wednesday,March,Over 60,18,10
classic_bike,member,Thursday,March,Over 60,10,1
electric_bike,casual,Wednesday,March,Over 60,16,5
classic_bike,member,Saturday,March,Over 60,3,1
electric_bike,casual,Monday,March,Over 60,9,2
classic_bike,member,Tuesday,March,Over 60,21,2
classic_bike,member,Friday,March,Over 60,7,1
electric_bike,casual,Sunday,March,30 to 60,3,1
classic_bike,casual,Saturday,March,Over 60,4,3
electric_bike,casual,Friday,March,Over 60,21,5
electric_bike,member,Wednesday,March,Over 60,9,1
electric_bike,casual,Tuesday,March,Over 60,8,3
classic_bike,casual,Wednesday,March,Over 60,2,2
classic_bike,casual,Sunday,March,Over 60,6,2
electric_bike,casual,Thursday,March,Over 60,18,2
classic_bike,casual,Friday,March,Under 10,3,1
electric_bike,casual,Wednesday,March,30 to 60,19,4
classic_bike,member,Thursday,March,10 to 30,4,6
electric_bike,member,Thursday,March,30 to 60,1,1
electric_bike,casual,Thursday,March,30 to 60,2,1
electric_bike,casual,Wednesday,March,30 to 60,22,2
classic_bike,casual,Saturday,March,30 to 60,2,2
classic_bike,member,Wednesday,March,Over 60,14,6
electric_bike,member,Friday,March,Over 60,0,1
electric_bike,casual,Friday,March,30 to 60,7,1
classic_bike,casual,Thursday,March,Over 60,4,1
electric_bike,casual,Friday,March,Over 60,9,1
classic_bike,casual,Saturday,March,Over 60,3,2
electric_bike,member,Saturday,March,30 to 60,3,2
classic_bike,casual,Sunday,March,Over 60,0,4
classic_bike,casual,Thursday,March,Over 60,6,1
electric_bike,casual,Monday,March,30 to 60,2,1
classic_bike,member,Tuesday,March,30 to 60,1,1
electric_bike,member,Sunday,March,Over 60,21,4
electric_bike,casual,Tuesday,March,30 to 60,3,1
classic_bike,casual,Sunday,March,30 to 60,1,11
classic_bike,casual,Wednesday,March,Over 60,20,5
classic_bike,member,Friday,March,Over 60,22,2
classic_bike,casual,Sunday,March,Over 60,3,2
classic_bike,member,Friday,March,Over 60,23,1
classic_bike,casual,Monday,March,30 to 60,22,2
classic_bike,casual,Tuesday,March,Under 10,2,2
classic_bike,member,Wednesday,March,30 to 60,3,2
electric_bike,casual,Sunday,March,Over 60,8,2
electric_bike,member,Saturday,March,30 to 60,4,1
classic_bike,member,Friday,March,30 to 60,3,2
classic_bike,member,Tuesday,March,30 to 60,2,2
classic_bike,member,Thursday,March,30 to 60,3,3
classic_bike,casual,Monday,March,Over 60,20,10
classic_bike,member,Thursday,March,Over 60,21,2
electric_bike,casual,Wednesday,March,30 to 60,20,7
classic_bike,member,Thursday,March,Under 10,3,5
classic_bike,casual,Monday,March,Under 10,2,1
classic_bike,member,Wednesday,March,10 to 30,4,6
classic_bike,member,Monday,March,Over 60,21,1
electric_bike,member,Sunday,March,Over 60,3,1
classic_bike,casual,Wednesday,March,Over 60,1,1
classic_bike,casual,Thursday,March,Over 60,23,4
classic_bike,casual,Sunday,March,10 to 30,5,6
classic_bike,casual,Saturday,March,Over 60,1,4
electric_bike,casual,Tuesday,March,Over 60,18,2
classic_bike,member,Saturday,March,Over 60,1,1
classic_bike,casual,Friday,March,Over 60,3,2
classic_bike,casual,Thursday,March,30 to 60,1,1
classic_bike,casual,Saturday,March,Over 60,5,5
classic_bike,casual,Monday,March,Over 60,2,2
classic_bike,member,Sunday,March,Over 60,3,1
classic_bike,member,Wednesday,March,30 to 60,4,1
classic_bike,casual,Monday,March,Over 60,0,1
classic_bike,casual,Monday,March,30 to 60,0,3
electric_bike,casual,Friday,March,10 to 30,3,2
classic_bike,casual,Thursday,March,Under 10,3,1
classic_bike,casual,Wednesday,March,Under 10,3,2
classic_bike,member,Tuesday,March,Over 60,22,1
electric_bike,casual,Monday,March,Over 60,2,1
electric_bike,casual,Saturday,March,30 to 60,3,2
classic_bike,casual,Tuesday,March,10 to 30,2,2
classic_bike,casual,Wednesday,March,Under 10,2,3
classic_bike,casual,Tuesday,March,30 to 60,0,7
classic_bike,member,Friday,March,Over 60,14,2
classic_bike,casual,Tuesday,March,Under 10,1,1
classic_bike,casual,Saturday,March,30 to 60,3,1
classic_bike,member,Thursday,March,Over 60,18,1
electric_bike,casual,Saturday,March,Over 60,8,1
classic_bike,casual,Saturday,March,30 to 60,4,1
electric_bike,member,Monday,March,30 to 60,5,1
classic_bike,member,Sunday,March,Over 60,9,4
electric_bike,casual,Friday,March,Over 60,20,1
classic_bike,member,Thursday,March,10 to 30,2,2
classic_bike,member,Friday,March,Over 60,9,1
classic_bike,casual,Friday,March,30 to 60,1,6
electric_bike,casual,Wednesday,March,30 to 60,5,1
electric_bike,casual,Friday,March,Over 60,19,2
classic_bike,member,Sunday,March,Over 60,6,2
classic_bike,casual,Monday,March,30 to 60,4,1
electric_bike,casual,Saturday,March,Over 60,6,1
classic_bike,member,Monday,March,Over 60,20,1
electric_bike,member,Thursday,March,Over 60,20,1
classic_bike,member,Saturday,March,Over 60,4,1
classic_bike,member,Tuesday,March,Over 60,13,2
electric_bike,member,Wednesday,March,Over 60,22,2
classic_bike,member,Sunday,March,Over 60,5,1
electric_bike,member,Wednesday,March,Over 60,21,2
classic_bike,member,Saturday,March,Over 60,22,1
electric_bike,member,Wednesday,March,Over 60,0,1
classic_bike,member,Friday,March,Over 60,21,1
electric_bike,casual,Friday,March,Over 60,8,1
classic_bike,casual,Thursday,March,Over 60,21,1
classic_bike,member,Monday,March,Over 60,0,1
