rideable_type,member_casual,Day Name,Month Name,Custom,Hour,Count
classic_bike,member,Tuesday,January,Over 60,15,8
electric_bike,member,Thursday,January,10 to 30,16,359
classic_bike,member,Wednesday,January,Under 10,9,465
classic_bike,member,Tuesday,January,Under 10,20,257
classic_bike,member,Wednesday,January,10 to 30,19,210
electric_bike,member,Wednesday,January,10 to 30,7,234
electric_bike,member,Thursday,January,Under 10,7,541
classic_bike,member,Thursday,January,Under 10,11,323
classic_bike,member,Sunday,January,Under 10,17,261
electric_bike,member,Friday,January,Under 10,6,219
classic_bike,member,Monday,January,Under 10,6,292
classic_bike,member,Tuesday,January,30 to 60,12,10
classic_bike,member,Thursday,January,Under 10,15,549
classic_bike,member,Thursday,January,30 to 60,15,37
electric_bike,member,Sunday,January,Under 10,14,221
electric_bike,member,Tuesday,January,Under 10,18,461
electric_bike,member,Thursday,January,10 to 30,10,88
electric_bike,casual,Thursday,January,Under 10,16,230
electric_bike,member,Friday,January,Under 10,9,221
classic_bike,member,Saturday,January,10 to 30,9,80
classic_bike,member,Friday,January,Under 10,19,207
classic_bike,member,Saturday,January,Under 10,7,81
classic_bike,member,Wednesday,January,Under 10,1,16
classic_bike,member,Wednesday,January,Under 10,22,140
classic_bike,member,Wednesday,January,Under 10,5,153
classic_bike,member,Wednesday,January,Under 10,6,425
electric_bike,member,Saturday,January,10 to 30,1,15
electric_bike,member,Monday,January,Under 10,2,45
classic_bike,member,Thursday,January,Under 10,20,271
classic_bike,member,Wednesday,January,Under 10,20,361
classic_bike,member,Wednesday,January,10 to 30,7,390
classic_bike,member,Monday,January,Under 10,3,12
electric_bike,casual,Monday,January,Under 10,12,99
classic_bike,member,Sunday,January,Under 10,20,134
electric_bike,member,Thursday,January,10 to 30,18,197
classic_bike,member,Tuesday,January,10 to 30,7,262
classic_bike,member,Tuesday,January,10 to 30,16,404
classic_bike,member,Saturday,January,10 to 30,0,24
classic_bike,member,Wednesday,January,10 to 30,16,513
classic_bike,member,Thursday,January,Under 10,19,367
electric_bike,member,Saturday,January,Under 10,7,102
classic_bike,member,Friday,January,Under 10,9,234
classic_bike,member,Thursday,January,30 to 60,8,28
classic_bike,member,Sunday,January,Under 10,21,82
classic_bike,casual,Thursday,January,Over 60,10,9
electric_bike,member,Sunday,January,Under 10,9,157
classic_bike,member,Tuesday,January,Under 10,9,340
classic_bike,member,Tuesday,January,Under 10,18,608
electric_bike,member,Monday,January,Under 10,7,399
classic_bike,member,Tuesday,January,Under 10,6,236
classic_bike,member,Saturday,January,Under 10,12,263
classic_bike,member,Monday,January,10 to 30,23,19
classic_bike,member,Tuesday,January,Under 10,14,343
classic_bike,member,Tuesday,January,Under 10,11,262
classic_bike,member,Sunday,January,Under 10,19,156
electric_bike,member,Wednesday,January,10 to 30,12,107
classic_bike,casual,Monday,January,Under 10,18,78
electric_bike,casual,Friday,January,10 to 30,21,19
classic_bike,member,Tuesday,January,10 to 30,15,212
electric_bike,member,Wednesday,January,Under 10,21,191
electric_bike,member,Saturday,January,Under 10,17,227
electric_bike,member,Thursday,January,10 to 30,15,209
classic_bike,member,Monday,January,10 to 30,21,84
electric_bike,member,Sunday,January,Under 10,13,253
electric_bike,member,Sunday,January,10 to 30,18,54
classic_bike,member,Friday,January,Under 10,17,447
classic_bike,member,Monday,January,Under 10,19,341
classic_bike,casual,Tuesday,January,10 to 30,17,44
classic_bike,casual,Friday,January,Under 10,21,34
classic_bike,member,Friday,January,Under 10,18,330
classic_bike,casual,Sunday,January,Under 10,9,27
classic_bike,casual,Tuesday,January,Under 10,21,46
electric_bike,casual,Wednesday,January,Under 10,17,206
electric_bike,member,Thursday,January,Under 10,15,581
electric_bike,casual,Wednesday,January,Under 10,5,22
classic_bike,casual,Wednesday,January,Under 10,8,95
classic_bike,casual,Tuesday,January,Under 10,9,43
electric_bike,casual,Tuesday,January,Under 10,15,117
classic_bike,casual,Thursday,January,Under 10,8,71
classic_bike,member,Tuesday,January,30 to 60,17,59
electric_bike,casual,Thursday,January,Under 10,18,134
classic_bike,member,Monday,January,30 to 60,16,47
classic_bike,casual,Tuesday,January,Under 10,8,66
classic_bike,member,Thursday,January,Under 10,8,686
electric_bike,member,Tuesday,January,10 to 30,23,24
classic_bike,member,Thursday,January,Under 10,14,368
classic_bike,member,Sunday,January,10 to 30,16,132
electric_bike,member,Tuesday,January,10 to 30,21,59
classic_bike,casual,Tuesday,January,Over 60,12,2
electric_bike,member,Friday,January,Under 10,11,225
classic_bike,member,Tuesday,January,10 to 30,19,174
electric_bike,member,Friday,January,Under 10,17,423
classic_bike,member,Monday,January,Under 10,10,263
classic_bike,member,Friday,January,Under 10,10,168
electric_bike,casual,Monday,January,10 to 30,19,22
classic_bike,casual,Sunday,January,10 to 30,12,34
electric_bike,member,Monday,January,Under 10,13,307
classic_bike,member,Saturday,January,10 to 30,12,179
electric_bike,member,Monday,January,10 to 30,17,290
electric_bike,member,Friday,January,10 to 30,17,160
electric_bike,member,Tuesday,January,10 to 30,19,104
classic_bike,member,Monday,January,10 to 30,13,133
electric_bike,member,Monday,January,Under 10,22,96
classic_bike,member,Friday,January,10 to 30,15,159
classic_bike,member,Friday,January,10 to 30,16,213
electric_bike,member,Sunday,January,10 to 30,16,88
classic_bike,member,Monday,January,10 to 30,18,311
classic_bike,casual,Saturday,January,10 to 30,14,44
classic_bike,casual,Tuesday,January,Under 10,17,86
electric_bike,casual,Friday,January,Under 10,20,46
classic_bike,member,Saturday,January,10 to 30,17,128
classic_bike,member,Thursday,January,10 to 30,7,287
classic_bike,member,Friday,January,10 to 30,7,138
classic_bike,member,Thursday,January,10 to 30,8,421
classic_bike,member,Monday,January,10 to 30,7,212
classic_bike,member,Tuesday,January,10 to 30,13,131
classic_bike,member,Wednesday,January,Under 10,14,462
classic_bike,member,Sunday,January,10 to 30,15,152
electric_bike,member,Saturday,January,10 to 30,13,105
electric_bike,member,Sunday,January,10 to 30,15,90
classic_bike,member,Thursday,January,10 to 30,20,100
classic_bike,member,Friday,January,10 to 30,20,52
classic_bike,member,Sunday,January,Over 60,17,5
classic_bike,casual,Monday,January,10 to 30,0,14
classic_bike,casual,Tuesday,January,30 to 60,20,3
electric_bike,casual,Wednesday,January,Under 10,20,82
electric_bike,member,Tuesday,January,Under 10,10,182
electric_bike,member,Wednesday,January,Under 10,9,403
electric_bike,member,Monday,January,Under 10,21,150
classic_bike,member,Sunday,January,Under 10,15,283
classic_bike,member,Saturday,January,10 to 30,16,134
classic_bike,member,Thursday,January,10 to 30,17,463
classic_bike,member,Thursday,January,Under 10,5,98
classic_bike,member,Sunday,January,Under 10,9,175
classic_bike,member,Monday,January,Under 10,5,109
electric_bike,member,Tuesday,January,Under 10,12,262
classic_bike,member,Thursday,January,Under 10,13,407
electric_bike,member,Monday,January,Under 10,12,320
electric_bike,member,Tuesday,January,Under 10,11,184
classic_bike,casual,Sunday,January,Over 60,19,1
classic_bike,member,Sunday,January,Under 10,23,36
electric_bike,member,Monday,January,Under 10,14,356
electric_bike,member,Thursday,January,Under 10,22,139
electric_bike,member,Sunday,January,Under 10,21,117
electric_bike,member,Wednesday,January,10 to 30,16,389
classic_bike,member,Friday,January,Under 10,6,208
classic_bike,member,Sunday,January,30 to 60,11,16
classic_bike,member,Tuesday,January,Under 10,17,822
electric_bike,casual,Thursday,January,Under 10,11,77
classic_bike,member,Thursday,January,Under 10,6,324
classic_bike,member,Monday,January,10 to 30,9,128
classic_bike,member,Sunday,January,Under 10,18,181
classic_bike,member,Wednesday,January,Under 10,13,470
electric_bike,member,Wednesday,January,10 to 30,22,64
classic_bike,member,Tuesday,January,30 to 60,8,28
